"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"411" "o8_t2_mf_d1" "o8_t2_ap_d2" 1
"412" "o8_t2_mf_d1" "o8_t2_rp_d1" 1
"413" "o8_t2_mf_d1" "o8_t2_rp_d2" 0
"414" "o8_t2_mf_d2" "o8_t1_cs_d1" 1
"415" "o8_t2_mf_d2" "o8_t1_cs_d2" 0
"416" "o8_t2_mf_d2" "o8_t2_mf_d1" 0
"417" "o8_t2_mf_d2" "o8_t2_ap_d1" 0
"418" "o8_t2_mf_d2" "o8_t2_ap_d2" 0
"419" "o8_t2_mf_d2" "o8_t2_rp_d1" 0
"420" "o8_t2_mf_d2" "o8_t2_rp_d2" 0
"421" "o8_t2_ap_d1" "o8_t1_cs_d1" 1
"422" "o8_t2_ap_d1" "o8_t1_cs_d2" 0
"423" "o8_t2_ap_d1" "o8_t2_mf_d1" 0
"424" "o8_t2_ap_d1" "o8_t2_mf_d2" 1
"425" "o8_t2_ap_d1" "o8_t2_ap_d2" 0
"426" "o8_t2_ap_d1" "o8_t2_rp_d1" 0
"427" "o8_t2_ap_d1" "o8_t2_rp_d2" 0
"428" "o8_t2_ap_d2" "o8_t1_cs_d1" 1
"429" "o8_t2_ap_d2" "o8_t1_cs_d2" 1
"430" "o8_t2_ap_d2" "o8_t2_mf_d1" 0
"431" "o8_t2_ap_d2" "o8_t2_mf_d2" 1
